f_hz,pitch_deg,airspeed,mean_Fx,mean_Fz,mean_Pin,mean_sep_ratio,csv
3.6000000000000005,10.0,6.0,-0.13355893537860036,4.282578550947982,28.729990891910052,0.12688684421795604,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p600_pitch10p000_U6p000/windtunnel_v50.csv
3.6000000000000005,10.0,7.0,-0.23698376122247666,5.832276170431699,32.70065977236175,0.08580168640403384,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p600_pitch10p000_U7p000/windtunnel_v50.csv
3.6000000000000005,10.0,8.0,-0.409139403301954,7.723901288323341,36.82746080516027,0.05635019864569596,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p600_pitch10p000_U8p000/windtunnel_v50.csv
3.6000000000000005,11.0,5.0,-0.18484073507333157,3.339003921507823,25.12360997071845,0.187932661995909,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p600_pitch11p000_U5p000/windtunnel_v50.csv
3.6000000000000005,11.0,6.0,-0.27343427016747834,4.707960167102558,28.58274126544374,0.13192741736555336,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p600_pitch11p000_U6p000/windtunnel_v50.csv
3.6000000000000005,11.0,7.0,-0.418822261283178,6.407082788226252,32.44227881794932,0.09127281869103991,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p600_pitch11p000_U7p000/windtunnel_v50.csv
3.6000000000000005,11.0,8.0,-0.638361832037537,8.479280523224762,36.42704661293172,0.06191050654895982,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p600_pitch11p000_U8p000/windtunnel_v50.csv
3.6000000000000005,12.0,5.0,-0.29435607055999313,3.6360371653807184,25.05910941174483,0.1919756503328524,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p600_pitch12p000_U5p000/windtunnel_v50.csv
3.6000000000000005,12.0,6.0,-0.4234153854122117,5.126114760784111,28.44383713571911,0.1368935773486226,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p600_pitch12p000_U6p000/windtunnel_v50.csv
3.6000000000000005,12.0,7.0,-0.6172160162145197,6.969955947040143,32.173181910977725,0.09724635501549667,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p600_pitch12p000_U7p000/windtunnel_v50.csv
3.6000000000000005,12.0,8.0,-0.890164344585141,9.215432207525899,35.98212609295428,0.0683754249112554,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p600_pitch12p000_U8p000/windtunnel_v50.csv
3.6000000000000005,13.0,5.0,-0.413497670730556,3.928708447318423,24.990316029568042,0.19657524444973623,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p600_pitch13p000_U5p000/windtunnel_v50.csv
3.6000000000000005,13.0,6.0,-0.5868940257383726,5.536279602314578,28.284594917098268,0.14276708064295557,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p600_pitch13p000_U6p000/windtunnel_v50.csv
3.6000000000000005,13.0,7.0,-0.8305234362445155,7.52483437737618,31.895587884807387,0.10355823919068174,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p600_pitch13p000_U7p000/windtunnel_v50.csv
3.6000000000000005,13.0,8.0,-1.1588633679211247,9.942868200902641,35.54160458963197,0.07490576658347355,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p600_pitch13p000_U8p000/windtunnel_v50.csv
3.6000000000000005,14.0,5.0,-0.5420966576512646,4.215519674779511,24.918918903660405,0.20177164563684621,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p600_pitch14p000_U5p000/windtunnel_v50.csv
3.6000000000000005,14.0,6.0,-0.7635699932877605,5.933339620370703,28.117245653134802,0.14950233478318328,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p600_pitch14p000_U6p000/windtunnel_v50.csv
3.6000000000000005,14.0,7.0,-1.0608661444799379,8.061865783131257,31.591698192106655,0.11086225438591328,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p600_pitch14p000_U7p000/windtunnel_v50.csv
3.6000000000000005,14.0,8.0,-1.4495102025545152,10.647604058798027,35.058232893650136,0.08240491078758465,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p600_pitch14p000_U8p000/windtunnel_v50.csv
3.6000000000000005,15.0,5.0,-0.6778852785227824,4.4965542608207105,24.84945575084093,0.20707634719667573,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p600_pitch15p000_U5p000/windtunnel_v50.csv
3.6000000000000005,15.0,6.0,-0.9479180940102186,6.327415873119623,27.96929170878793,0.15561272966418307,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p600_pitch15p000_U6p000/windtunnel_v50.csv
3.6000000000000005,15.0,7.0,-1.3029049536551602,8.591130053293988,31.305639318110817,0.11796666173719374,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p600_pitch15p000_U7p000/windtunnel_v50.csv
3.6000000000000005,15.0,8.0,-1.7561901830494524,11.340476391418985,34.582625614327554,0.09003398265207904,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p600_pitch15p000_U8p000/windtunnel_v50.csv
3.8000000000000007,10.0,5.0,-0.15597640943474353,3.429304330740006,28.91553021727873,0.20397778326161364,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p800_pitch10p000_U5p000/windtunnel_v50.csv
3.8000000000000007,10.0,6.0,-0.2013931128605695,4.6802477939209925,32.709745309484795,0.14416384873697863,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p800_pitch10p000_U6p000/windtunnel_v50.csv
3.8000000000000007,10.0,7.0,-0.2938769066857956,6.2266363750731,37.019408814033554,0.10036322998409378,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p800_pitch10p000_U7p000/windtunnel_v50.csv
3.8000000000000007,10.0,8.0,-0.44619203123141543,8.102216495687069,41.640355758851136,0.06787784312599447,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p800_pitch10p000_U8p000/windtunnel_v50.csv
3.8000000000000007,11.0,5.0,-0.26449343138656295,3.7340568260198364,28.892907684991624,0.2080395641839492,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p800_pitch11p000_U5p000/windtunnel_v50.csv
3.8000000000000007,11.0,6.0,-0.3471395530133257,5.107194464770391,32.628231062147435,0.14902401170722493,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p800_pitch11p000_U6p000/windtunnel_v50.csv
3.8000000000000007,11.0,7.0,-0.48456469192563345,6.798690125532834,36.83154278225217,0.1061839926439835,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p800_pitch11p000_U7p000/windtunnel_v50.csv
3.8000000000000007,11.0,8.0,-0.6846786335942827,8.85147188519106,41.322147828800944,0.07385835281560116,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p800_pitch11p000_U8p000/windtunnel_v50.csv
3.8000000000000007,12.0,5.0,-0.3820335404997955,4.033558810376692,28.87270098672656,0.21227632349759015,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p800_pitch12p000_U5p000/windtunnel_v50.csv
3.8000000000000007,12.0,6.0,-0.5065580955832919,5.524281519890947,32.53408203415556,0.15463314830162217,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p800_pitch12p000_U6p000/windtunnel_v50.csv
3.8000000000000007,12.0,7.0,-0.6896297517261764,7.365325773960177,36.65028416793129,0.11196216264990444,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p800_pitch12p000_U7p000/windtunnel_v50.csv
3.8000000000000007,12.0,8.0,-0.9437532265260351,9.592104298689675,40.98404777336219,0.08021461963386221,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p800_pitch12p000_U8p000/windtunnel_v50.csv
3.8000000000000007,13.0,5.0,-0.508124883529693,4.3280337899165024,28.851081254649,0.2168071934227137,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p800_pitch13p000_U5p000/windtunnel_v50.csv
3.8000000000000007,13.0,6.0,-0.6783522756358058,5.933786574039522,32.43602216206415,0.16071084882305262,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p800_pitch13p000_U6p000/windtunnel_v50.csv
3.8000000000000007,13.0,7.0,-0.9123160916678059,7.91302251302013,36.43796662917836,0.11885974835750265,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p800_pitch13p000_U7p000/windtunnel_v50.csv
